buyDate,sellDate,code,name,mode,returnPct,xcjw,cjs,jsjl,openPctChange,reason,droppedModes,regime,isMainLine,isBigCap,adaptiveActive,adaptiveReason,holdDays,exitKind
2025-07-02,2025-07-03,300293.XSHE,蓝英装备,首红断低吸,-2.0000000000000018,153.18,56.5,0.0,-5.87,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+4.60% / 10d avg=+2.73% (阈值 -4%/-2%),1,max_dd_stop
2025-07-03,2025-07-04,600876.XSHG,凯盛新能,接力低弱转1,-2.000000000000013,362.01,0.0,40.2,2.81,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,,False,True,Tier1 双窗口未一致: 5d avg=+1.60% / 10d avg=+6.33% (阈值 -7%/-4%),1,max_dd_stop
2025-07-04,2025-07-07,002263.XSHE,大东南,接力低弱转1,-2.0000000000000018,475.67,0.0,81.69,1.62,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,True,True,Tier1 双窗口未一致: 5d avg=+2.40% / 10d avg=+6.84% (阈值 -6%/-4%),1,max_dd_stop
2025-07-04,2025-07-07,301150.XSHE,中一科技,接力低弱转1,-2.0000000000000018,342.07,0.0,295.56,8.87,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,False,Tier1 双窗口未一致: 5d avg=+2.40% / 10d avg=+6.84% (阈值 -6%/-4%); openPctChange ≥ 6.0% (chasing high open),1,max_dd_stop
2025-07-04,2025-07-07,600876.XSHG,凯盛新能,首红断低吸,-2.0000000000000018,318.7,7.19,0.0,-0.49,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=-2.30% / 10d avg=-0.29% (阈值 -4%/-2%),1,max_dd_stop
2025-07-04,2025-07-07,002549.XSHE,凯美特气,红断低吸,-1.9999999999999907,164.57,7.33,0.0,-0.75,红断 + 低吸有分 + 竞王达标,,,False,False,False,"Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=0/n20=1, 需 1/2/3)",1,max_dd_stop
2025-07-04,2025-07-07,002669.XSHE,康达新材,方向内绿盘低吸前3名,-2.000000000000013,222.58,35.02,0.0,-1.87,方向内低吸排名3 + 绿断 + 低吸有分,,,False,False,False,"excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier4 dormant: 20 个交易日样本不足 (n5=0/n10=0/n20=2, 需 1/2/3)",1,max_dd_stop
2025-07-07,2025-07-08,603316.XSHG,诚邦股份,方向内绿盘低吸前3名,-2.0000000000000018,408.89,214.35,0.0,-2.93,方向内低吸排名1 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier2 5d 单窗口保守: avg=-6.31%≤-6% n=1 (10d n<2),1,max_dd_stop
2025-07-07,2025-07-08,002658.XSHE,雪迪龙,方向内绿盘低吸前3名,-1.9999999999999907,352.75,196.76,0.0,-3.62,方向内低吸排名2 + 绿断 + 低吸有分,,,False,False,False,excluded by --exclude-modes: 方向内绿盘低吸前3名; Tier2 5d 单窗口保守: avg=-6.31%≤-6% n=1 (10d n<2),1,max_dd_stop
2025-07-08,2025-07-10,301388.XSHE,欣灵电气,接力低弱转1,32.7663782447466,309.95,0.0,164.38,1.95,弱转强 + 昨日连板 + 竞王达标,接力低弱转2,,False,False,True,Tier1 双窗口未一致: 5d avg=-4.42% / 10d avg=-2.01% (阈值 -6%/-4%),2,max_dd_stop
2025-07-08,2025-07-09,001210.XSHE,金房能源,首红断低吸,-2.0000000000000018,172.28,49.66,0.0,-5.15,首红断 + 低吸有分 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=-2.06% / 10d avg=-0.46% (阈值 -4%/-2%),1,max_dd_stop
2025-07-09,2025-07-10,000823.XSHE,超声电子,接力低弱转1,-2.0000000000000018,259.68,0.0,9.56,0.76,弱转强 + 昨日连板 + 竞王达标,,,False,False,True,Tier1 双窗口未一致: 5d avg=+2.57% / 10d avg=+2.25% (阈值 -6%/-4%),1,max_dd_stop
