categoryCode,blockCode,parent,date,score,scoreChangePre,scoreChange,dataType,isTrack,isPpp,industryType
,886053.DDBK,000035.BKDL,2024-10-25,131.44,87.63,43.82,0,1,0,0.0
,886004.DDBK,000035.BKDL,2024-10-25,122.43,71.42,-0.0,0,1,0,0.0
,886007.DDBK,000035.BKDL,2024-10-25,120.13,-36.04,12.01,0,1,0,0.0
,885921.DDBK,000035.BKDL,2024-10-25,120.02,8.83,-22.94,0,1,0,0.0
,885948.DDBK,000035.BKDL,2024-10-25,110.93,-95.08,-15.84,0,1,0,0.0
,885311.DDBK,000035.BKDL,2024-10-25,101.92,-39.2,-19.6,0,1,0,0.0
,885920.DDBK,000035.BKDL,2024-10-25,96.55,-20.69,-6.89,0,1,0,0.0
,886006.DDBK,000035.BKDL,2024-10-25,88.67,-70.93,-35.46,0,1,0,0.0
,885531.DDBK,000035.BKDL,2024-10-25,86.1,-63.15,-22.97,0,1,0,0.0
,885878.DDBK,000035.BKDL,2024-10-25,84.32,-42.16,0.0,0,1,0,0.0
,886010.DDBK,000035.BKDL,2024-10-25,82.76,-49.65,-33.1,0,1,0,0.0
,886003.DDBK,000035.BKDL,2024-10-25,77.05,25.68,0.0,0,1,0,0.0
,885819.DDBK,000035.BKDL,2024-10-25,76.67,-43.81,-0.0,0,1,0,0.0
,885571.DDBK,000035.BKDL,2024-10-25,72.47,-40.26,0.0,0,1,0,0.0
,886065.DDBK,000035.BKDL,2024-10-25,72.08,-96.1,24.03,0,1,0,0.0
,885922.DDBK,000035.BKDL,2024-10-25,67.71,0.0,50.78,0,1,0,0.0
,885938.DDBK,000035.BKDL,2024-10-25,63.84,-63.84,-42.56,0,1,0,0.0
,885958.DDBK,000035.BKDL,2024-10-25,60.39,-40.26,0.0,0,1,0,0.0
,885641.DDBK,000035.BKDL,2024-10-25,58.31,-58.31,-0.0,0,1,0,0.0
,885996.DDBK,000035.BKDL,2024-10-25,50.32,-80.52,-0.0,0,1,0,0.0
,885936.DDBK,000035.BKDL,2024-10-25,49.93,-58.25,-20.81,0,1,0,0.0
,885935.DDBK,000035.BKDL,2024-10-25,44.69,-29.79,-44.69,0,1,0,0.0
,886038.DDBK,000035.BKDL,2024-10-25,39.2,-117.6,0.0,0,1,0,0.0
,886005.DDBK,000035.BKDL,2024-10-25,0.0,-114.58,-19.1,0,1,0,0.0
,886026.DDBK,000035.BKDL,2024-10-25,0.0,-29.79,-29.79,0,1,0,0.0
000036.BKDL,,,2024-10-25,101.02,-19.81,-1.98,1,0,0,
,886063.DDBK,000036.BKDL,2024-10-25,106.4,106.4,0.0,0,0,0,0.0
,885544.DDBK,000036.BKDL,2024-10-25,98.9,-20.19,-2.02,0,0,0,0.0
000011.BKDL,,,2024-10-25,100.54,-37.7,-11.72,1,1,0,
,885555.DDBK,000011.BKDL,2024-10-25,186.2,23.27,-23.28,0,1,0,0.0
,885992.DDBK,000011.BKDL,2024-10-25,131.44,-43.81,43.82,0,1,0,0.0
,885854.DDBK,000011.BKDL,2024-10-25,121.43,-40.48,24.28,0,1,0,0.0
,885563.DDBK,000011.BKDL,2024-10-25,97.03,-34.1,-15.74,0,1,0,0.0
,885919.DDBK,000011.BKDL,2024-10-25,96.48,-19.29,-11.57,0,1,0,0.0
,886052.DDBK,000011.BKDL,2024-10-25,93.1,-15.52,-0.0,0,1,0,0.0
,885410.DDBK,000011.BKDL,2024-10-25,85.47,-61.05,-24.42,0,1,0,0.0
,885823.DDBK,000011.BKDL,2024-10-25,85.05,-20.61,-12.88,0,1,0,0.0
,885690.DDBK,000011.BKDL,2024-10-25,84.64,-88.86,-12.69,0,1,0,0.0
,885412.DDBK,000011.BKDL,2024-10-25,80.62,-46.07,-11.52,0,1,0,0.0
,885961.DDBK,000011.BKDL,2024-10-25,80.52,-40.26,0.0,0,1,0,0.0
,885986.DDBK,000011.BKDL,2024-10-25,29.79,-74.48,-0.0,0,1,0,0.0
000038.BKDL,,,2024-10-25,97.63,-12.36,-12.76,1,1,0,
,885694.DDBK,000038.BKDL,2024-10-25,109.9,-8.15,-12.95,0,1,1,0.0
,883304.DDBK,000038.BKDL,2024-10-25,67.37,6.24,-6.24,0,1,0,0.0
000008.BKDL,,,2024-10-25,96.71,-54.85,-2.89,1,1,0,
,885433.DDBK,000008.BKDL,2024-10-25,174.71,-9.19,-9.19,0,1,0,0.0
,885423.DDBK,000008.BKDL,2024-10-25,159.19,-0.0,11.37,0,1,0,0.0
,885572.DDBK,000008.BKDL,2024-10-25,93.1,-43.81,-5.48,0,1,0,0.0
,885692.DDBK,000008.BKDL,2024-10-25,78.4,-0.0,29.4,0,1,0,0.0
,885914.DDBK,000008.BKDL,2024-10-25,38.69,-135.42,-9.67,0,1,0,0.0
,885398.DDBK,000008.BKDL,2024-10-25,27.25,-99.91,-18.16,0,1,0,0.0
,885428.DDBK,000008.BKDL,2024-10-25,0.0,-85.94,0.0,0,1,0,0.0
000026.BKDL,,,2024-10-25,94.35,-68.04,-27.21,1,1,0,
,885840.DDBK,000026.BKDL,2024-10-25,100.07,-52.5,-27.89,0,1,0,0.0
,885611.DDBK,000026.BKDL,2024-10-25,98.0,-34.3,-24.5,0,1,0,0.0
,885642.DDBK,000026.BKDL,2024-10-25,97.62,-101.23,-25.31,0,1,0,0.0
,885965.DDBK,000026.BKDL,2024-10-25,61.55,-73.87,-6.16,0,1,0,0.0
,885898.DDBK,000026.BKDL,2024-10-25,43.81,-109.53,-21.91,0,1,0,0.0
000001.BKDL,,,2024-10-25,93.7,-33.64,-12.01,1,1,0,
,885355.DDBK,000001.BKDL,2024-10-25,150.85,-18.85,0.0,0,1,0,0.0
,885972.DDBK,000001.BKDL,2024-10-25,133.68,76.39,-19.1,0,1,0,0.0
,885865.DDBK,000001.BKDL,2024-10-25,133.0,53.2,-53.2,0,1,0,0.0
,885969.DDBK,000001.BKDL,2024-10-25,112.85,-22.57,-45.14,0,1,0,0.0
,885343.DDBK,000001.BKDL,2024-10-25,93.1,13.3,-26.6,0,1,0,0.0
,885552.DDBK,000001.BKDL,2024-10-25,78.4,-22.4,-33.6,0,1,0,0.0
,885284.DDBK,000001.BKDL,2024-10-25,48.57,16.19,-0.0,0,1,0,0.0
,885530.DDBK,000001.BKDL,2024-10-25,47.74,-38.2,-38.2,0,1,0,0.0
,885970.DDBK,000001.BKDL,2024-10-25,24.83,-99.3,-49.65,0,1,0,0.0
,885973.DDBK,000001.BKDL,2024-10-25,24.83,-124.13,-37.24,0,1,0,0.0
,885971.DDBK,000001.BKDL,2024-10-25,0.0,-137.93,-55.17,0,1,0,0.0
000019.BKDL,,,2024-10-25,92.0,-59.15,-19.72,1,0,0,
,885963.DDBK,000019.BKDL,2024-10-25,182.4,-30.4,-60.8,0,0,0,0.0
,885753.DDBK,000019.BKDL,2024-10-25,165.51,41.38,-82.76,0,0,0,0.0
