date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-18,980474.ZHBK,27.12,-77.73,-36.15,2,1,0,0
2024-10-18,980378.ZHBK,26.81,-46.18,-43.2,2,1,0,0
2024-10-18,980358.ZHBK,26.6,-26.6,5.32,2,1,0,0
2024-10-18,980373.ZHBK,26.07,-44.69,-37.24,2,1,0,0
2024-10-18,980363.ZHBK,24.83,-183.71,-19.86,2,1,0,0
2024-10-18,980346.ZHBK,24.83,-74.48,-41.37,2,1,0,0
2024-10-18,980364.ZHBK,22.36,-53.1,-36.33,2,1,0,0
2024-10-18,980473.ZHBK,17.12,-136.98,-51.37,2,1,0,0
2024-10-18,980362.ZHBK,15.78,-28.4,-12.62,2,1,0,0
2024-10-18,980360.ZHBK,15.05,-60.18,7.53,2,1,0,0
2024-10-18,980355.ZHBK,14.82,-151.93,-48.17,2,0,0,0
2024-10-18,980475.ZHBK,14.32,-71.62,-28.65,2,1,0,0
2024-10-18,980341.ZHBK,11.28,-28.22,5.64,2,1,0,0
2024-10-18,980750.ZHBK,11.12,-22.23,5.56,2,1,0,0
2024-10-18,980339.ZHBK,10.72,-64.3,-21.43,2,1,0,0
2024-10-18,980336.ZHBK,8.71,-56.62,-17.42,2,1,0,0
2024-10-18,980371.ZHBK,6.26,-31.29,-37.55,2,1,0,0
2024-10-18,980379.ZHBK,0.0,0.0,0.0,2,1,0,0
2024-10-18,980351.ZHBK,0.0,-67.71,-135.42,2,1,0,0
2024-10-18,980340.ZHBK,0.0,-186.2,0.0,2,0,0,0
2024-10-18,980477.ZHBK,0.0,-135.42,-67.71,2,1,0,0
2024-10-18,980353.ZHBK,0.0,-159.6,-42.56,2,0,0,0
2024-10-17,980366.ZHBK,434.96,198.61,57.59,2,0,0,0
2024-10-17,980753.ZHBK,393.28,139.21,45.24,2,0,0,0
2024-10-17,980357.ZHBK,314.63,196.3,69.61,2,0,0,0
2024-10-17,980376.ZHBK,234.94,34.99,-14.99,2,0,0,0
2024-10-17,980368.ZHBK,176.19,-312.33,-16.02,2,1,0,0
2024-10-17,980474.ZHBK,164.51,57.85,32.54,2,1,0,0
2024-10-17,980343.ZHBK,163.49,-127.16,-24.22,2,0,0,0
2024-10-17,980477.ZHBK,157.99,90.28,0.0,2,1,0,0
2024-10-17,980360.ZHBK,142.94,7.52,7.52,2,1,0,0
2024-10-17,980353.ZHBK,138.32,-95.76,10.64,2,0,0,0
2024-10-17,980365.ZHBK,135.84,-44.5,-3.52,2,1,0,0
2024-10-17,980340.ZHBK,124.13,-186.2,-0.0,2,0,0,0
2024-10-17,980364.ZHBK,121.57,-72.66,9.78,2,1,0,0
2024-10-17,980372.ZHBK,118.66,2.52,5.05,2,1,0,0
2024-10-17,980352.ZHBK,118.49,-118.49,-16.93,2,1,0,0
2024-10-17,980476.ZHBK,117.04,-101.08,26.6,2,1,0,0
2024-10-17,980363.ZHBK,114.2,-14.9,-4.97,2,1,0,0
2024-10-17,980338.ZHBK,111.34,-303.29,-34.55,2,1,0,0
2024-10-17,980756.ZHBK,104.27,-44.69,-22.35,2,1,0,0
2024-10-17,980378.ZHBK,104.27,-35.75,-20.86,2,1,0,0
2024-10-17,980473.ZHBK,102.73,-68.49,-17.12,2,1,0,0
2024-10-17,980373.ZHBK,96.82,-134.07,-40.97,2,1,0,0
2024-10-17,980358.ZHBK,95.76,-484.12,-196.84,2,1,0,0
2024-10-17,980346.ZHBK,91.03,-57.93,-33.1,2,1,0,0
2024-10-17,980339.ZHBK,85.73,-176.83,10.71,2,1,0,0
2024-10-17,980341.ZHBK,84.64,-248.26,5.65,2,1,0,0
