date,blockCode,score,scoreChangePre,scoreChange,dataType,industryType,isTrack,isPpp
2024-10-17,980339.ZHBK,75.02,-187.54,-5.35,2,1,0,0
2024-10-17,980374.ZHBK,74.48,-45.83,11.46,2,0,0,0
2024-10-17,980345.ZHBK,73.78,-87.83,3.52,2,0,0,0
2024-10-17,980378.ZHBK,72.99,-67.03,-5.96,2,1,0,0
2024-10-17,980368.ZHBK,72.08,-416.44,0.0,2,1,0,0
2024-10-17,980373.ZHBK,70.76,-160.13,-3.72,2,1,0,0
2024-10-17,980351.ZHBK,67.71,-67.71,-67.71,2,1,0,0
2024-10-17,980336.ZHBK,65.33,-304.89,-4.36,2,1,0,0
2024-10-17,980358.ZHBK,53.2,-526.68,0.0,2,1,0,0
2024-10-17,980362.ZHBK,44.18,-277.73,-3.16,2,1,0,0
2024-10-17,980341.ZHBK,39.5,-293.4,0.0,2,1,0,0
2024-10-17,980371.ZHBK,37.55,-93.89,0.0,2,1,0,0
2024-10-17,980750.ZHBK,33.35,-416.86,-5.56,2,1,0,0
2024-10-17,980335.ZHBK,25.68,-179.78,0.0,2,1,0,0
2024-10-17,980379.ZHBK,0.0,-727.07,0.0,2,1,0,0
2024-10-16,980379.ZHBK,727.07,709.34,-17.73,2,1,0,0
2024-10-16,980358.ZHBK,579.88,484.12,-5.32,2,1,0,0
2024-10-16,980368.ZHBK,488.52,360.38,-8.01,2,1,0,0
2024-10-16,980750.ZHBK,450.21,400.19,11.11,2,1,0,0
2024-10-16,980338.ZHBK,414.63,287.94,15.36,2,1,0,0
2024-10-16,980336.ZHBK,370.22,322.31,8.71,2,1,0,0
2024-10-16,980348.ZHBK,351.12,266.0,21.28,2,0,0,0
2024-10-16,980341.ZHBK,332.9,310.33,-11.29,2,1,0,0
2024-10-16,980355.ZHBK,326.08,196.39,14.82,2,0,0,0
2024-10-16,980362.ZHBK,321.91,274.57,0.0,2,1,0,0
2024-10-16,980340.ZHBK,310.33,310.33,0.0,2,0,0,0
2024-10-16,980343.ZHBK,290.65,211.93,0.0,2,0,0,0
2024-10-16,980339.ZHBK,262.56,219.69,-16.07,2,1,0,0
2024-10-16,980753.ZHBK,254.07,125.3,-1.74,2,0,0,0
2024-10-16,980352.ZHBK,236.98,84.63,-33.86,2,1,0,0
2024-10-16,980366.ZHBK,236.35,123.14,-3.97,2,0,0,0
2024-10-16,980353.ZHBK,234.08,127.68,0.0,2,0,0,0
2024-10-16,980373.ZHBK,230.89,141.51,7.45,2,1,0,0
2024-10-16,980476.ZHBK,218.12,175.56,0.0,2,1,0,0
2024-10-16,980335.ZHBK,205.46,188.34,-25.68,2,1,0,0
2024-10-16,980376.ZHBK,199.95,129.97,0.0,2,0,0,0
2024-10-16,980364.ZHBK,194.23,139.73,-5.59,2,1,0,0
2024-10-16,980365.ZHBK,180.34,108.9,-5.86,2,1,0,0
2024-10-16,980473.ZHBK,171.22,145.54,0.0,2,1,0,0
2024-10-16,980345.ZHBK,161.61,73.78,3.52,2,0,0,0
2024-10-16,980756.ZHBK,148.96,104.27,-14.9,2,1,0,0
2024-10-16,980346.ZHBK,148.96,99.31,-16.55,2,1,0,0
2024-10-16,980378.ZHBK,140.02,98.31,-4.47,2,1,0,0
2024-10-16,980351.ZHBK,135.42,135.42,0.0,2,1,0,0
2024-10-16,980360.ZHBK,135.42,90.28,-7.52,2,1,0,0
2024-10-16,980371.ZHBK,131.44,62.59,0.0,2,1,0,0
2024-10-16,980363.ZHBK,129.1,-49.65,0.0,2,1,0,0
2024-10-16,980475.ZHBK,128.91,114.59,-28.64,2,1,0,0
2024-10-16,980374.ZHBK,120.31,-22.92,5.73,2,0,0,0
2024-10-16,980357.ZHBK,118.33,29.23,0.0,2,0,0,0
2024-10-16,980372.ZHBK,116.14,65.65,0.0,2,1,0,0
2024-10-16,980474.ZHBK,106.66,47.0,-3.61,2,1,0,0
2024-10-16,980477.ZHBK,67.71,22.57,0.0,2,1,0,0
2024-10-15,980363.ZHBK,178.75,-536.26,0.0,2,1,0,0
2024-10-15,980352.ZHBK,152.35,-406.25,0.0,2,1,0,0
2024-10-15,980374.ZHBK,143.23,-269.27,5.73,2,0,0,0
2024-10-15,980355.ZHBK,129.69,-474.3,-7.41,2,0,0,0
2024-10-15,980753.ZHBK,128.77,-556.86,-1.74,2,0,0,0
2024-10-15,980368.ZHBK,128.14,-528.57,-8.01,2,1,0,0
2024-10-15,980338.ZHBK,126.69,-529.81,-3.84,2,1,0,0
2024-10-15,980366.ZHBK,113.21,-573.99,1.99,2,0,0,0
2024-10-15,980353.ZHBK,106.4,-425.6,0.0,2,0,0,0
2024-10-15,980358.ZHBK,95.76,-478.8,0.0,2,1,0,0
2024-10-15,980373.ZHBK,89.38,-487.84,-3.72,2,1,0,0
2024-10-15,980357.ZHBK,89.1,-588.88,-1.39,2,0,0,0
2024-10-15,980345.ZHBK,87.83,-368.89,3.51,2,0,0,0
2024-10-15,980348.ZHBK,85.12,-532.0,0.0,2,0,0,0
2024-10-15,980343.ZHBK,78.72,-532.86,0.0,2,0,0,0
2024-10-15,980365.ZHBK,71.44,-590.21,-1.17,2,1,0,0
2024-10-15,980376.ZHBK,69.98,-574.85,0.0,2,0,0,0
2024-10-15,980371.ZHBK,68.85,-513.22,-6.26,2,1,0,0
2024-10-15,980474.ZHBK,59.66,-549.56,-1.8,2,1,0,0
2024-10-15,980364.ZHBK,54.5,-537.99,0.0,2,1,0,0
2024-10-15,980372.ZHBK,50.49,-507.48,0.0,2,1,0,0
2024-10-15,980750.ZHBK,50.02,-478.01,11.11,2,1,0,0
2024-10-15,980346.ZHBK,49.65,-554.47,8.27,2,1,0,0
2024-10-15,980336.ZHBK,47.91,-413.78,8.71,2,1,0,0
2024-10-15,980362.ZHBK,47.34,-517.57,6.31,2,1,0,0
2024-10-15,980477.ZHBK,45.14,-496.53,0.0,2,1,0,0
2024-10-15,980360.ZHBK,45.14,-323.5,-7.52,2,1,0,0
2024-10-15,980756.ZHBK,44.69,-573.49,7.45,2,1,0,0
2024-10-15,980339.ZHBK,42.87,-503.67,0.0,2,1,0,0
2024-10-15,980476.ZHBK,42.56,-649.04,0.0,2,1,0,0
2024-10-15,980378.ZHBK,41.71,-431.98,-1.49,2,1,0,0
2024-10-15,980473.ZHBK,25.68,-462.29,0.0,2,1,0,0
2024-10-15,980341.ZHBK,22.57,-462.68,-5.64,2,1,0,0
2024-10-15,980379.ZHBK,17.73,-727.07,0.0,2,1,0,0
2024-10-15,980335.ZHBK,17.12,-513.66,0.0,2,1,0,0
2024-10-15,980475.ZHBK,14.32,-429.7,0.0,2,1,0,0
2024-10-15,980351.ZHBK,0.0,-270.84,0.0,2,1,0,0
2024-10-15,980340.ZHBK,0.0,-682.73,0.0,2,0,0,0
2024-10-14,980379.ZHBK,744.8,709.33,0.0,2,1,0,0
2024-10-14,980363.ZHBK,715.01,710.04,0.0,2,1,0,0
2024-10-14,980476.ZHBK,691.6,665.0,5.32,2,1,0,0
2024-10-14,980366.ZHBK,687.2,607.75,1.98,2,0,0,0
2024-10-14,980753.ZHBK,685.63,609.06,0.0,2,0,0,0
2024-10-14,980340.ZHBK,682.73,620.66,0.0,2,0,0,0
2024-10-14,980357.ZHBK,677.98,647.35,1.4,2,0,0,0
2024-10-14,980365.ZHBK,661.65,633.54,-1.18,2,1,0,0
2024-10-14,980368.ZHBK,656.71,584.63,8.01,2,1,0,0
2024-10-14,980338.ZHBK,656.5,618.11,7.68,2,1,0,0
2024-10-14,980376.ZHBK,644.83,574.85,0.0,2,0,0,0
2024-10-14,980756.ZHBK,618.18,595.84,7.44,2,1,0,0
2024-10-14,980348.ZHBK,617.12,606.48,10.64,2,0,0,0
2024-10-14,980343.ZHBK,611.58,605.52,0.0,2,0,0,0
2024-10-14,980474.ZHBK,609.22,583.91,-1.81,2,1,0,0
2024-10-14,980346.ZHBK,604.12,579.29,8.28,2,1,0,0
2024-10-14,980355.ZHBK,603.99,574.35,3.7,2,0,0,0
2024-10-14,980364.ZHBK,592.49,558.95,11.18,2,1,0,0
2024-10-14,980371.ZHBK,582.07,544.52,12.52,2,1,0,0
2024-10-14,980373.ZHBK,577.22,528.56,14.9,2,1,0,0
2024-10-14,980358.ZHBK,574.56,441.56,0.0,2,1,0,0
2024-10-14,980362.ZHBK,564.91,530.19,3.15,2,1,0,0
2024-10-14,980352.ZHBK,558.6,490.89,0.0,2,1,0,0
2024-10-14,980372.ZHBK,557.97,504.95,17.67,2,1,0,0
2024-10-14,980339.ZHBK,546.54,482.24,-10.72,2,1,0,0
2024-10-14,980477.ZHBK,541.67,451.39,22.57,2,1,0,0
2024-10-14,980353.ZHBK,532.0,478.8,10.64,2,0,0,0
2024-10-14,980335.ZHBK,530.78,445.17,17.12,2,1,0,0
2024-10-14,980750.ZHBK,528.03,478.01,5.56,2,1,0,0
2024-10-14,980473.ZHBK,487.97,462.29,8.56,2,1,0,0
2024-10-14,980341.ZHBK,485.25,394.97,-5.64,2,1,0,0
2024-10-14,980378.ZHBK,473.69,448.37,2.98,2,1,0,0
2024-10-14,980336.ZHBK,461.69,413.78,8.71,2,1,0,0
2024-10-14,980345.ZHBK,456.72,382.94,31.62,2,0,0,0
